Image Sticker,Slice Index,Model,IoU,Dice
lung_074,318,EfficientSAM (VIT-tiny),0.1144708423326133,0.2054263565891473
lung_074,318,EfficientSAM (VIT-small),0.1734299516908212,0.2955948950185261
lung_074,319,EfficientSAM (VIT-tiny),0.0867148415786548,0.1595907928388746
lung_074,319,EfficientSAM (VIT-small),0.1430851063829787,0.2503489995346672
lung_074,320,EfficientSAM (VIT-tiny),0.1371185786017767,0.2411684782608695
lung_074,320,EfficientSAM (VIT-small),0.1352215623572407,0.2382293762575452
lung_074,321,EfficientSAM (VIT-tiny),0.2463235294117647,0.3952802359882006
lung_074,321,EfficientSAM (VIT-small),0.2860962566844919,0.4449064449064449
lung_074,322,EfficientSAM (VIT-tiny),0.2407407407407407,0.3880597014925373
lung_074,322,EfficientSAM (VIT-small),0.3038821954484605,0.4661190965092402
lung_074,323,EfficientSAM (VIT-tiny),0.2985553772070626,0.4598269468479604
lung_074,323,EfficientSAM (VIT-small),0.3231810490693739,0.4884910485933504
lung_074,324,EfficientSAM (VIT-tiny),0.2320328542094455,0.3766666666666666
lung_074,324,EfficientSAM (VIT-small),0.1872,0.3153638814016172
lung_074,325,EfficientSAM (VIT-tiny),0.2650793650793651,0.4190715181932246
lung_074,325,EfficientSAM (VIT-small),0.2720364741641337,0.4277180406212664
lung_074,326,EfficientSAM (VIT-tiny),0.2027972027972027,0.3372093023255814
lung_074,326,EfficientSAM (VIT-small),0.1674757281553398,0.2869022869022869
lung_074,327,EfficientSAM (VIT-tiny),0.167016806722689,0.2862286228622862
lung_074,327,EfficientSAM (VIT-small),0.1757990867579908,0.2990291262135922
lung_074,328,EfficientSAM (VIT-tiny),0.2,0.3333333333333333
lung_074,328,EfficientSAM (VIT-small),0.2010376134889753,0.3347732181425486
lung_074,329,EfficientSAM (VIT-tiny),0.1924083769633507,0.3227222832052689
lung_074,329,EfficientSAM (VIT-small),0.192258064516129,0.3225108225108225
lung_074,330,EfficientSAM (VIT-tiny),0.1620553359683794,0.2789115646258503
lung_074,330,EfficientSAM (VIT-small),0.1647211413748378,0.2828507795100223
lung_074,331,EfficientSAM (VIT-tiny),0.1465629053177691,0.255656108597285
